Date,Title,Description,Notes,1962ordo.today URL
"Wednesday, January 1, 2020",Octave Day of the Nativity of Our Lord,"Holy Day of Obligation in the USA _ **  
**_ Also known as the Circumcision of Our Lord

I class  
White",Funerals are not permitted today,https://1962ordo.today/day/octave-day-nativity-lord-2-2/
"Thursday, January 2, 2020",Ferial Day,"**_First Thursday_**

IV class  
White","The First Thursday votive Mass may be said: “one Mass of our Lord Jesus
Christ, eternal High Priest, on the first Thursday or the first Saturday of
each month, in churches and oratories in which special devotions are held on
that day for the sanctification of the clergy” ( _Rubricæ generales_ , 385a).

IV class Votive Masses are permitted, but IV class Requiem Masses are not
(until January 13 inclusive).",https://1962ordo.today/day/feria-2-2-2/
"Friday, January 3, 2020",Ferial Day,"_**First Friday**_

IV class  
White","The First Friday votive Masses may be said: “two Masses of the Most Sacred
Heart of Jesus, on the first Friday of each month, in churches and oratories
in which special devotions are held on that day in honor of the Sacred Heart”
( _Rubricæ generales_ , 385b).

IV class Votive Masses are permitted, but IV class Requiem Masses are not
(until January 13 inclusive).",https://1962ordo.today/day/feria-3-2-2/
"Saturday, January 4, 2020",B. V. M. on Saturday,"_**First Saturday**_

IV class  
White","The First Saturday votive Mass may be said: “one Mass of the Immaculate Heart
of the Blessed Virgin Mary, on the first Saturday of each month, in churches
and oratories in which special devotions are held on that day in honor of the
Immaculate Heart of Mary” ( _Rubricæ generales_ , 385c).

IV class Votive Masses are permitted, but IV class Requiem Masses are not
(until January 13 inclusive).",https://1962ordo.today/day/bvm-on-saturday-9-3/
"Sunday, January 5, 2020",Holy Name of Jesus,"II class  
White","Proper Mass of the feast; Gloria; no commemoration of the Sunday; Credo;
preface of the Nativity _  
_",https://1962ordo.today/day/holy-name-jesus-2-2/
"Monday, January 6, 2020",The Epiphany of the Lord,"I class  
White",Funeral Masses are not permitted,https://1962ordo.today/day/epiphany-of-the-lord-2-2/
"Tuesday, January 7, 2020",Tuesday after Epiphany,"IV class  
White","IV class Votive Masses are permitted, but IV class Requiem Masses are not
(until January 13 inclusive)",https://1962ordo.today/day/feria-iii-after-epiphany-2/
"Wednesday, January 8, 2020",Wednesday after Epiphany,"IV class  
White","IV class Votive Masses are permitted, but IV class Requiem Masses are not
(until January 13 inclusive)",https://1962ordo.today/day/feria-iii-after-epiphany-2-2/
"Thursday, January 9, 2020",Thursday after Epiphany,"IV class  
White","IV class Votive Masses are permitted, but IV class Requiem Masses are not
(until January 13 inclusive)",https://1962ordo.today/day/feria-iii-after-epiphany-2-3/
"Friday, January 10, 2020",Friday after Epiphany,"IV class  
White","IV class Votive Masses are permitted, but IV class Requiem Masses are not
(until January 13 inclusive)",https://1962ordo.today/day/feria-iii-after-epiphany-2-4/
